Starter,P1name,P1weight,P1depth,P1color,P2name,P2weight,P2depth,P2color, Winner, TotalChips
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,14
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,22
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,18
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,23
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,16
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,24
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,14
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,15
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,18
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,18
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,18
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,15
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,19
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,19
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,13
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,12
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,16
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,14
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,12
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,13
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,15
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,15
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,28
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,24
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,12
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,11
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,25
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,14
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,22
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,18
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,16
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,24
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,13
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,14
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,22
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,12
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,28
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,18
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,15
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,11
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,12
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,14
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,16
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,14
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,16
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,9
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,15
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,19
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,13
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,1,1,Green,Minmax,5,3,Red,Red,22
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,13
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,25
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,21
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,19
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,1,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,20
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,20
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,7
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,20
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,19
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,12
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,16
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,20
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,16
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,14
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,19
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,22
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,12
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,10
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,8
Green,Minmax,2,1,Green,Minmax,5,3,Red,Red,18
Green,Minmax,2,1,Green,Minmax,5,3,Red,Green,31
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,7
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,17
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,19
Red,Minmax,2,1,Green,Minmax,5,3,Red,Red,19
