Starter,P1name,P1weight,P1depth,P1color,P2name,P2weight,P2depth,P2color, Winner, TotalChips
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,34
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,31
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,18
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,28
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,9
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,40
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,12
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,35
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,12
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,14
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,32
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,8
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,36
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,14
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,33
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,12
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,8
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,35
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,13
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,40
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,34
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,14
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,32
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,13
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,30
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,9
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,9
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,13
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Green,29
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,30
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,14
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,30
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,40
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,13
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,8
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,12
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,13
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,27
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,15
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,28
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,40
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,10
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,36
Green,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,Red,7
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
Red,Minmax_tweak_arthur,1,1,Green,Minmax_tweak_arthur,5,3,Red,No one,42
